접수번호,접수날짜,제조일자,불량유형_대,불량유형_중,불량유형_소,원인,유상/무상,처리내역,수리부품_x,수리비용,수리비용청구여부,제조년,접수년,수리부품_y,부품공급업체,Q.C담당
SL22530,2023-04-29,2023-04-23,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2023,2023,케이스, C커버 , 김민지 
SL22531,2022-04-01,2020-12-20,기능,화면,안켜짐,액정 고장,유상,부품교체,액정 Ass'y,80000,80000,2020,2022,액정 Ass'y, B패널 , 김민지 
SL22532,2022-07-16,2021-08-22,기능,화면,백화현상,액정 고장,무상,제품교환,액정 Ass'y,80000,미청구,2021,2022,액정 Ass'y, A액정 , 이수현 
SL22533,2021-12-18,2021-12-16,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021,케이스, C커버 , 이수현 
SL22534,2022-07-29,2021-09-13,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2022,액정 Ass'y, C코닝 , 김민지 
SL22535,2021-10-04,2020-08-10,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2020,2021,케이스, A케이스 , 김민지 
SL22536,2022-11-06,2021-11-17,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2022,케이스, A케이스 , 김민지 
SL22537,2022-07-15,2022-07-11,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022,케이스, B사출 , 김민지 
SL22538,2023-05-22,2023-04-29,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2023,2023,액정 Ass'y, C코닝 , 이수현 
SL22539,2022-11-06,2021-07-27,기능,전원,켜지지 않음,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2021,2022,MAIN Pcb Board, A테크 , 김민지 
SL22540,2022-01-14,2021-07-03,기능,버튼,두번 터치됨,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2022,MAIN Pcb Board, C테크놀러지 , 김민지 
SL22541,2022-06-19,2022-04-03,기능,전원,켜지지 않음,전원스위치 고장,무상,제품교환,SMPS Pcb Board,45000,미청구,2022,2022,SMPS Pcb Board, C테크놀러지 , 김민지 
SL22542,2022-12-28,2022-03-15,기능,버튼,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2022,2022,스위치 PCB Board Ass'y, B텍 , 김민지 
SL22543,2021-07-13,2020-09-12,기능,전원,켜지지 않음,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2020,2021,MAIN Pcb Board, C테크놀러지 , 김민지 
SL22544,2023-01-19,2023-01-13,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2023,2023,액정 Ass'y, C코닝 , 이수현 
SL22545,2021-11-19,2021-03-17,기능,전원,켜지지 않음,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2021,MAIN Pcb Board, C테크놀러지 , 김민지 
SL22546,2021-12-14,2021-12-03,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021,액정 Ass'y, C코닝 , 김민지 
SL22547,2022-07-12,2022-05-06,기능,전원,켜지지 않음,배터리 방전,무상,부품교체,Battery,30000,미청구,2022,2022,Battery, A리튬 , 이수현 
SL22548,2022-10-29,2021-11-23,기능,화면,백화현상,컨넥터 접촉불량,무상,제품교환,컨넥터 Ass'y,18000,미청구,2021,2022,컨넥터 Ass'y, A케이블 , 김민지 
SL22549,2021-06-24,2020-03-19,기능,전원,켜지지 않음,배터리 방전,유상,부품교체,Battery,30000,30000,2020,2021,Battery, C파워 , 김민지 
SL22550,2023-01-19,2021-09-27,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2023,액정 Ass'y, B패널 , 이수현 
SL22551,2021-09-01,2021-01-10,기능,화면,안켜짐,컨넥터 이탈,무상,부품교체,컨넥터 Ass'y,18000,미청구,2021,2021,컨넥터 Ass'y, A케이블 , 이수현 
SL22552,2021-09-30,2021-09-09,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021,케이스, A케이스 , 이수현 
SL22553,2023-04-23,2023-01-01,기능,화면,안켜짐,컨넥터 이탈,무상,부품교체,컨넥터 Ass'y,18000,미청구,2023,2023,컨넥터 Ass'y, B통신 , 김민지 
SL22554,2022-08-06,2022-04-06,기능,전원,켜지지 않음,휴즈 끊어짐,무상,부품교체,Fuse,3000,미청구,2022,2022,Fuse, B파츠 , 김민지 
SL22555,2023-01-06,2022-05-16,기능,버튼,동작안함,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구,2022,2023,스위치 PCB Board Ass'y, B텍 , 이수현 
SL22556,2021-07-21,2021-06-18,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2021,케이스, A케이스 , 김민지 
SL22557,2022-01-23,2021-10-03,기능,전원,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2022,MAIN Pcb Board, C테크놀러지 , 김민지 
SL22558,2022-08-09,2022-04-04,기능,화면,안켜짐,액정 고장,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022,액정 Ass'y, B패널 , 이수현 
SL22559,2022-03-31,2021-03-26,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2022,액정 Ass'y, C코닝 , 이수현 
SL22560,2021-11-21,2021-02-05,기능,화면,안켜짐,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2021,MAIN Pcb Board, B텍 , 김민지 
SL22561,2021-05-17,2020-08-14,기능,전원,켜지지 않음,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2020,2021,MAIN Pcb Board, C테크놀러지 , 이수현 
SL22562,2023-02-20,2022-10-23,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2023,케이스, B사출 , 김민지 
SL22563,2022-09-13,2022-08-13,기능,버튼,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2022,2022,스위치 PCB Board Ass'y, A테크 , 김민지 
SL22564,2022-04-23,2021-05-17,기능,전원,켜지지 않음,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2022,MAIN Pcb Board, C테크놀러지 , 이수현 
SL22565,2022-06-06,2021-10-05,기능,화면,안켜짐,컨넥터 이탈,무상,제품교환,컨넥터 Ass'y,18000,미청구,2021,2022,컨넥터 Ass'y, A케이블 , 김민지 
SL22566,2021-10-03,2021-09-27,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021,액정 Ass'y, C코닝 , 김민지 
SL22567,2022-02-23,2020-10-31,기능,화면,백화현상,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2020,2022,MAIN Pcb Board, A테크 , 이수현 
SL22568,2023-02-05,2022-01-23,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2023,액정 Ass'y, A액정 , 이수현 
SL22569,2022-03-03,2021-06-19,기능,버튼,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구,2021,2022,스위치 PCB Board Ass'y, C테크놀러지 , 김민지 
SL22570,2022-06-09,2022-06-07,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022,액정 Ass'y, A액정 , 이수현 
SL22571,2022-08-21,2022-06-17,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구,2022,2022,SMPS Pcb Board, B텍 , 김민지 
SL22572,2022-06-26,2022-05-17,기능,버튼,두번 터치됨,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2022,2022,MAIN Pcb Board, C테크놀러지 , 김민지 
SL22573,2021-05-16,2020-07-13,기능,버튼,동작안함,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2020,2021,MAIN Pcb Board, B텍 , 김민지 
SL22574,2022-04-26,2022-03-29,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022,액정 Ass'y, A액정 , 김민지 
SL22575,2022-01-23,2021-05-26,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2022,케이스, A케이스 , 김민지 
SL22576,2022-12-21,2022-12-19,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022,액정 Ass'y, C코닝 , 김민지 
SL22577,2022-10-29,2022-09-04,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2022,액정 Ass'y, B패널 , 이수현 
SL22578,2022-01-21,2022-01-06,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022,액정 Ass'y, C코닝 , 김민지 
SL22579,2022-12-07,2022-10-11,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2022,케이스, C커버 , 김민지 
SL22580,2023-05-06,2023-04-30,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2023,2023,케이스, A케이스 , 김민지 
SL22581,2021-06-07,2020-04-13,기능,화면,백화현상,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2020,2021,MAIN Pcb Board, C테크놀러지 , 김민지 
SL22582,2023-02-25,2022-10-13,기능,전원,켜지지 않음,휴즈 끊어짐,무상,제품교환,Fuse,3000,미청구,2022,2023,Fuse, B파츠 , 이수현 
SL22583,2023-02-20,2022-07-29,기능,화면,백화현상,컨넥터 접촉불량,무상,부품교체,컨넥터 Ass'y,18000,미청구,2022,2023,컨넥터 Ass'y, A케이블 , 김민지 
SL22584,2021-09-14,2021-09-03,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021,케이스, A케이스 , 김민지 
SL22585,2023-03-04,2022-03-26,기능,화면,백화현상,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2022,2023,MAIN Pcb Board, B텍 , 이수현 
SL22586,2023-01-03,2022-12-12,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2023,케이스, A케이스 , 김민지 
SL22587,2022-02-10,2021-08-01,기능,전원,켜지지 않음,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2022,MAIN Pcb Board, B텍 , 김민지 
SL22588,2022-10-21,2022-07-02,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2022,액정 Ass'y, C코닝 , 김민지 
SL22589,2022-08-31,2021-06-07,기능,화면,백화현상,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2021,2022,MAIN Pcb Board, A테크 , 김민지 
SL22590,2023-01-24,2021-10-05,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2023,액정 Ass'y, B패널 , 김민지 
SL22591,2021-05-26,2020-04-29,기능,전원,켜지지 않음,전원스위치 고장,유상,부품교체,SMPS Pcb Board,45000,45000,2020,2021,SMPS Pcb Board, A테크 , 김민지 
SL22592,2022-10-17,2022-01-09,기능,화면,안켜짐,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2022,2022,MAIN Pcb Board, C테크놀러지 , 김민지 
SL22593,2021-09-18,2021-03-29,기능,화면,안켜짐,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구,2021,2021,액정 Ass'y, B패널 , 이수현 
SL22594,2021-08-12,2020-10-05,기능,버튼,두번 터치됨,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2020,2021,스위치 PCB Board Ass'y, C테크놀러지 , 이수현 
SL22595,2022-03-15,2021-02-11,기능,전원,켜지지 않음,전원스위치 고장,유상,부품교체,SMPS Pcb Board,45000,45000,2021,2022,SMPS Pcb Board, B텍 , 이수현 
SL22596,2021-09-24,2021-02-21,기능,버튼,두번 터치됨,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2021,2021,스위치 PCB Board Ass'y, B텍 , 김민지 
SL22597,2021-10-08,2020-07-31,기능,화면,안켜짐,컨넥터 이탈,유상,부품교체,컨넥터 Ass'y,18000,18000,2020,2021,컨넥터 Ass'y, A케이블 , 이수현 
SL22598,2023-03-19,2022-10-22,기능,화면,안켜짐,액정 고장,무상,제품교환,액정 Ass'y,80000,미청구,2022,2023,액정 Ass'y, C코닝 , 김민지 
SL22599,2022-10-12,2022-09-22,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022,케이스, B사출 , 이수현 
SL22600,2023-03-04,2022-04-17,기능,화면,백화현상,컨넥터 접촉불량,무상,부품교체,컨넥터 Ass'y,18000,미청구,2022,2023,컨넥터 Ass'y, B통신 , 이수현 
SL22601,2021-06-30,2021-02-08,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2021,케이스, A케이스 , 이수현 
SL22602,2022-01-15,2021-05-29,기능,전원,켜지지 않음,휴즈 끊어짐,무상,부품교체,Fuse,3000,미청구,2021,2022,Fuse, B파츠 , 이수현 
SL22603,2021-11-05,2020-07-15,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2020,2021,케이스, C커버 , 김민지 
SL22604,2021-08-31,2020-09-30,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구,2020,2021,SMPS Pcb Board, B텍 , 김민지 
SL22605,2022-10-22,2022-02-02,기능,버튼,두번 터치됨,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2022,2022,스위치 PCB Board Ass'y, C테크놀러지 , 이수현 
SL22606,2023-01-17,2022-02-15,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2023,액정 Ass'y, C코닝 , 김민지 
SL22607,2023-04-10,2023-01-01,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2023,2023,케이스, B사출 , 김민지 
SL22608,2022-08-11,2021-09-28,기능,화면,백화현상,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2022,MAIN Pcb Board, C테크놀러지 , 김민지 
SL22609,2021-07-26,2021-03-18,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구,2021,2021,SMPS Pcb Board, A테크 , 이수현 
SL22610,2023-04-08,2023-03-20,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2023,2023,액정 Ass'y, C코닝 , 김민지 
SL22611,2022-04-09,2022-03-24,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022,액정 Ass'y, C코닝 , 김민지 
SL22612,2021-07-24,2021-04-03,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2021,케이스, C커버 , 김민지 
SL22613,2021-11-03,2020-08-25,기능,전원,켜지지 않음,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2020,2021,MAIN Pcb Board, C테크놀러지 , 김민지 
SL22614,2022-06-03,2021-05-28,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2022,케이스, A케이스 , 김민지 
SL22615,2021-11-12,2020-11-27,기능,버튼,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2020,2021,스위치 PCB Board Ass'y, B텍 , 이수현 
SL22616,2022-12-04,2022-03-16,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2022,케이스, C커버 , 김민지 
SL22617,2022-03-19,2021-11-22,기능,전원,켜지지 않음,전원스위치 고장,무상,제품교환,SMPS Pcb Board,45000,미청구,2021,2022,SMPS Pcb Board, B텍 , 김민지 
SL22618,2023-05-07,2022-05-22,기능,화면,안켜짐,컨넥터 이탈,무상,부품교체,컨넥터 Ass'y,18000,미청구,2022,2023,컨넥터 Ass'y, A케이블 , 김민지 
SL22619,2021-12-19,2020-10-29,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2020,2021,액정 Ass'y, B패널 , 김민지 
SL22620,2022-02-08,2020-12-16,기능,버튼,동작안함,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2020,2022,MAIN Pcb Board, A테크 , 이수현 
SL22621,2021-07-28,2020-05-25,기능,전원,켜지지 않음,전원스위치 고장,유상,부품교체,SMPS Pcb Board,45000,45000,2020,2021,SMPS Pcb Board, B텍 , 김민지 
SL22622,2021-05-05,2021-04-06,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021,액정 Ass'y, B패널 , 김민지 
SL22623,2021-10-31,2021-04-03,기능,화면,백화현상,컨넥터 접촉불량,무상,제품교환,컨넥터 Ass'y,18000,미청구,2021,2021,컨넥터 Ass'y, A케이블 , 김민지 
SL22624,2022-03-21,2021-03-04,기능,버튼,두번 터치됨,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000,2021,2022,스위치 PCB Board Ass'y, C테크놀러지 , 이수현 
SL22625,2021-12-23,2020-11-23,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2020,2021,액정 Ass'y, A액정 , 김민지 
SL22626,2022-02-03,2021-01-02,기능,버튼,두번 터치됨,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2021,2022,MAIN Pcb Board, C테크놀러지 , 김민지 
SL22627,2021-05-07,2020-05-24,기능,화면,안켜짐,컨넥터 이탈,무상,제품교환,컨넥터 Ass'y,18000,미청구,2020,2021,컨넥터 Ass'y, A케이블 , 김민지 
SL22628,2021-09-01,2021-08-21,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021,액정 Ass'y, C코닝 , 김민지 
SL22629,2022-10-16,2022-10-05,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022,액정 Ass'y, A액정 , 김민지 
SL22630,2022-02-08,2021-09-19,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2022,액정 Ass'y, C코닝 , 김민지 
SL22631,2022-12-08,2022-05-12,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2022,케이스, A케이스 , 김민지 
SL22632,2023-01-23,2022-04-09,기능,화면,백화현상,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구,2022,2023,액정 Ass'y, B패널 , 김민지 
SL22633,2021-10-15,2021-03-31,기능,전원,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2021,MAIN Pcb Board, A테크 , 김민지 
SL22634,2023-01-21,2022-11-04,기능,화면,백화현상,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2022,2023,MAIN Pcb Board, B텍 , 김민지 
SL22635,2023-02-03,2022-09-24,기능,버튼,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구,2022,2023,스위치 PCB Board Ass'y, B텍 , 김민지 
SL22636,2021-11-24,2021-10-27,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021,케이스, A케이스 , 김민지 
SL22637,2023-02-07,2023-01-26,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2023,2023,액정 Ass'y, C코닝 , 김민지 
SL22638,2022-12-25,2022-03-22,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2022,액정 Ass'y, B패널 , 이수현 
SL22639,2021-09-27,2021-09-12,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021,액정 Ass'y, A액정 , 이수현 
SL22640,2021-09-12,2021-08-22,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021,액정 Ass'y, B패널 , 김민지 
SL22641,2022-12-25,2021-09-04,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2022,케이스, B사출 , 김민지 
SL22642,2023-01-29,2022-12-24,기능,화면,안켜짐,액정 고장,무상,제품교환,액정 Ass'y,80000,미청구,2022,2023,액정 Ass'y, C코닝 , 김민지 
SL22643,2021-05-16,2021-05-04,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021,액정 Ass'y, C코닝 , 김민지 
SL22644,2021-06-29,2021-03-29,기능,전원,켜지지 않음,전원스위치 고장,무상,제품교환,SMPS Pcb Board,45000,미청구,2021,2021,SMPS Pcb Board, B텍 , 김민지 
SL22645,2021-10-11,2020-11-18,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구,2020,2021,SMPS Pcb Board, A테크 , 김민지 
SL22646,2022-04-12,2022-03-23,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022,케이스, A케이스 , 김민지 
SL22647,2021-10-06,2021-03-12,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2021,액정 Ass'y, A액정 , 김민지 
SL22648,2022-01-27,2021-10-14,기능,전원,켜지지 않음,배터리 방전,무상,부품교체,Battery,30000,미청구,2021,2022,Battery, C파워 , 이수현 
SL22649,2023-01-15,2022-08-16,기능,전원,켜지지 않음,배터리 방전,무상,부품교체,Battery,30000,미청구,2022,2023,Battery, B전지 , 김민지 
SL22650,2021-05-08,2020-11-29,기능,화면,백화현상,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2020,2021,MAIN Pcb Board, C테크놀러지 , 김민지 
SL22651,2021-12-29,2021-12-26,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021,액정 Ass'y, B패널 , 이수현 
SL22652,2022-06-12,2022-05-16,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022,케이스, B사출 , 이수현 
SL22653,2021-10-02,2020-10-06,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2020,2021,액정 Ass'y, B패널 , 김민지 
SL22654,2021-07-04,2021-06-26,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021,케이스, C커버 , 김민지 
SL22655,2022-05-10,2021-01-22,기능,전원,켜지지 않음,전원스위치 고장,유상,부품교체,SMPS Pcb Board,45000,45000,2021,2022,SMPS Pcb Board, B텍 , 김민지 
SL22656,2022-04-10,2021-10-08,기능,버튼,동작안함,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2022,MAIN Pcb Board, B텍 , 김민지 
SL22657,2023-04-19,2023-04-12,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2023,2023,액정 Ass'y, A액정 , 이수현 
SL22658,2021-09-27,2021-02-18,기능,버튼,동작안함,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2021,MAIN Pcb Board, B텍 , 김민지 
SL22659,2022-02-09,2021-04-25,기능,화면,안켜짐,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2022,MAIN Pcb Board, C테크놀러지 , 김민지 
SL22660,2021-06-25,2021-01-18,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구,2021,2021,SMPS Pcb Board, B텍 , 김민지 
SL22661,2022-01-27,2021-02-27,기능,전원,켜지지 않음,배터리 방전,무상,제품교환,Battery,30000,미청구,2021,2022,Battery, C파워 , 김민지 
SL22662,2021-07-16,2020-05-13,기능,화면,안켜짐,컨넥터 이탈,유상,부품교체,컨넥터 Ass'y,18000,18000,2020,2021,컨넥터 Ass'y, C텍 , 김민지 
SL22663,2022-01-31,2020-10-19,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2020,2022,케이스, C커버 , 김민지 
SL22664,2021-10-01,2021-02-12,기능,버튼,동작안함,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2021,MAIN Pcb Board, B텍 , 이수현 
SL22665,2022-12-31,2022-03-24,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2022,케이스, C커버 , 이수현 
SL22666,2022-12-02,2021-09-06,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2022,케이스, A케이스 , 김민지 
SL22667,2022-10-21,2021-09-25,기능,화면,백화현상,컨넥터 접촉불량,유상,부품교체,컨넥터 Ass'y,18000,18000,2021,2022,컨넥터 Ass'y, A케이블 , 김민지 
SL22668,2022-09-21,2021-05-29,기능,버튼,동작안함,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2021,2022,MAIN Pcb Board, B텍 , 이수현 
SL22669,2022-08-13,2021-05-22,기능,버튼,두번 터치됨,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000,2021,2022,스위치 PCB Board Ass'y, C테크놀러지 , 이수현 
SL22670,2022-05-20,2022-04-26,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022,액정 Ass'y, A액정 , 이수현 
SL22671,2021-11-19,2021-03-09,기능,화면,안켜짐,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구,2021,2021,액정 Ass'y, C코닝 , 김민지 
SL22672,2021-07-28,2021-07-12,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021,케이스, C커버 , 김민지 
SL22673,2022-09-01,2022-03-25,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2022,액정 Ass'y, C코닝 , 김민지 
SL22674,2023-03-09,2023-02-24,기능,버튼,동작안함,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2023,2023,MAIN Pcb Board, A테크 , 이수현 
SL22675,2022-03-15,2022-03-02,기능,화면,백화현상,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구,2022,2022,액정 Ass'y, C코닝 , 이수현 
SL22676,2021-06-03,2021-03-20,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2021,액정 Ass'y, B패널 , 김민지 
SL22677,2021-06-23,2021-06-03,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021,케이스, C커버 , 이수현 
SL22678,2022-01-09,2021-05-31,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2022,액정 Ass'y, C코닝 , 김민지 
SL22679,2022-01-30,2022-01-10,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022,액정 Ass'y, C코닝 , 김민지 
SL22680,2021-09-27,2020-10-24,기능,버튼,두번 터치됨,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2020,2021,MAIN Pcb Board, B텍 , 이수현 
SL22681,2023-05-01,2023-03-31,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2023,2023,액정 Ass'y, B패널 , 김민지 
SL22682,2022-10-22,2022-08-23,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2022,케이스, C커버 , 이수현 
SL22683,2023-02-27,2023-02-06,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2023,2023,케이스, C커버 , 이수현 
SL22684,2022-09-19,2022-03-02,기능,버튼,동작안함,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구,2022,2022,스위치 PCB Board Ass'y, C테크놀러지 , 이수현 
SL22685,2023-01-23,2022-03-10,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2023,액정 Ass'y, B패널 , 김민지 
SL22686,2023-05-09,2022-03-12,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2023,케이스, C커버 , 김민지 
