접수번호,접수날짜,제조일자,불량유형_대,불량유형_중,불량유형_소,원인,유상/무상,처리내역,수리부품,수리비용,수리비용청구여부
SL24734,2022-08-31,2022-05-04,기능,버튼,두번 터치됨,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구
SL24735,2022-03-27,2021-08-03,기능,버튼,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
SL24736,2022-03-25,2021-03-20,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24737,2023-05-19,2022-03-26,기능,전원,켜지지 않음,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
SL24738,2022-05-13,2021-05-05,기능,전원,켜지지 않음,배터리 방전,유상,부품교체,Battery,30000,30000
SL24739,2022-05-24,2022-03-30,기능,화면,안켜짐,액정 고장,무상,제품교환,액정 Ass'y,80000,미청구
SL24740,2022-01-08,2021-08-07,기능,버튼,동작안함,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
SL24741,2023-05-30,2022-03-26,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24742,2022-11-29,2022-10-30,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24743,2022-12-24,2022-08-11,기능,화면,백화현상,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
SL24744,2022-05-01,2021-07-30,기능,화면,안켜짐,컨넥터 이탈,무상,제품교환,컨넥터 Ass'y,18000,미청구
SL24745,2023-04-28,2022-07-16,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24746,2022-11-10,2022-01-30,기능,버튼,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구
SL24747,2022-12-08,2021-12-01,기능,버튼,동작안함,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000
SL24748,2021-11-02,2020-11-23,기능,전원,켜지지 않음,배터리 방전,무상,부품교체,Battery,30000,미청구
SL24749,2021-08-05,2020-11-13,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24750,2021-07-11,2020-05-23,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24751,2022-11-11,2021-09-03,기능,버튼,두번 터치됨,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000
SL24752,2023-04-16,2022-03-14,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24753,2023-05-18,2023-04-29,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24754,2022-12-16,2022-07-27,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24755,2021-07-04,2020-07-02,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24756,2021-10-25,2021-07-19,기능,화면,안켜짐,컨넥터 이탈,무상,부품교체,컨넥터 Ass'y,18000,미청구
SL24757,2023-05-10,2022-05-27,기능,버튼,동작안함,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
SL24758,2022-09-12,2021-07-13,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24759,2021-05-06,2021-04-19,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24760,2022-06-01,2022-05-19,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24761,2022-12-11,2022-09-03,기능,전원,켜지지 않음,배터리 방전,무상,제품교환,Battery,30000,미청구
SL24762,2023-05-30,2022-12-01,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24763,2022-08-03,2022-07-28,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24764,2021-10-15,2021-04-07,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24765,2023-02-07,2022-11-16,기능,버튼,두번 터치됨,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
SL24766,2021-12-06,2020-12-24,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24767,2023-05-04,2023-04-06,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24768,2021-05-23,2020-04-08,기능,전원,켜지지 않음,전원스위치 고장,유상,부품교체,SMPS Pcb Board,45000,45000
SL24769,2022-11-29,2022-11-19,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24770,2021-08-15,2020-07-26,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24771,2022-12-10,2022-11-15,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24772,2022-08-07,2021-08-21,기능,화면,안켜짐,컨넥터 이탈,무상,부품교체,컨넥터 Ass'y,18000,미청구
SL24773,2023-03-10,2022-07-03,기능,화면,백화현상,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구
SL24774,2021-06-15,2021-03-07,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24775,2023-02-14,2022-12-10,기능,버튼,두번 터치됨,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
SL24776,2021-06-20,2021-05-28,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24777,2022-05-05,2021-04-11,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24778,2022-12-22,2022-09-27,기능,화면,백화현상,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구
SL24779,2022-07-03,2021-06-02,기능,버튼,두번 터치됨,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000
SL24780,2021-08-06,2021-07-21,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24781,2022-03-31,2021-02-16,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24782,2023-02-07,2023-01-23,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24783,2021-05-06,2020-12-16,기능,버튼,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구
SL24784,2021-07-24,2021-07-06,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24785,2023-02-13,2022-04-06,기능,버튼,동작안함,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
SL24786,2023-03-24,2022-12-05,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24787,2023-01-10,2022-05-14,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24788,2022-09-04,2022-04-07,기능,화면,안켜짐,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
SL24789,2023-04-05,2022-12-09,기능,화면,백화현상,컨넥터 접촉불량,무상,제품교환,컨넥터 Ass'y,18000,미청구
SL24790,2021-12-30,2021-12-20,기능,버튼,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
SL24791,2022-08-20,2022-08-07,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24792,2021-05-19,2020-03-21,기능,전원,켜지지 않음,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
SL24793,2022-08-06,2022-07-21,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24794,2021-10-17,2020-11-28,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24795,2023-02-04,2023-01-22,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24796,2022-11-12,2022-11-04,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24797,2022-10-15,2021-06-28,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24798,2021-12-11,2021-08-24,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24799,2021-06-07,2020-08-11,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24800,2021-11-21,2020-12-27,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24801,2023-05-31,2023-05-22,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24802,2023-01-06,2022-12-13,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24803,2023-04-03,2023-01-20,기능,화면,안켜짐,컨넥터 이탈,무상,부품교체,컨넥터 Ass'y,18000,미청구
SL24804,2023-03-12,2023-02-20,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24805,2022-10-15,2021-07-18,기능,화면,안켜짐,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
SL24806,2022-06-19,2022-05-30,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24807,2022-07-19,2021-05-26,기능,화면,안켜짐,컨넥터 이탈,유상,부품교체,컨넥터 Ass'y,18000,18000
SL24808,2021-12-06,2021-08-21,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24809,2022-10-13,2022-09-28,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24810,2022-08-02,2022-07-06,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24811,2022-01-09,2021-08-24,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24812,2023-01-12,2021-10-26,기능,전원,켜지지 않음,배터리 방전,유상,부품교체,Battery,30000,30000
SL24813,2023-01-02,2022-07-14,기능,화면,안켜짐,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
SL24814,2022-08-10,2022-07-05,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24815,2022-04-13,2021-10-23,기능,버튼,동작안함,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
SL24816,2021-11-04,2021-06-28,기능,화면,안켜짐,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
SL24817,2021-06-15,2020-11-28,기능,버튼,동작안함,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
SL24818,2022-04-23,2022-04-17,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24819,2021-11-22,2021-06-15,기능,전원,켜지지 않음,휴즈 끊어짐,무상,제품교환,Fuse,3000,미청구
SL24820,2022-12-11,2022-09-27,기능,버튼,동작안함,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
SL24821,2022-07-01,2021-12-07,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구
SL24822,2021-07-18,2020-12-13,기능,버튼,두번 터치됨,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
SL24823,2022-04-03,2021-05-02,기능,버튼,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
SL24824,2022-09-17,2022-09-12,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24825,2023-03-06,2022-10-17,기능,버튼,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구
SL24826,2021-12-11,2021-09-10,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24827,2022-02-21,2021-06-22,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24828,2023-01-31,2022-03-30,기능,화면,안켜짐,컨넥터 이탈,무상,제품교환,컨넥터 Ass'y,18000,미청구
SL24829,2022-02-08,2021-10-28,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24830,2021-09-20,2020-12-14,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24831,2023-04-01,2022-08-19,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24832,2022-02-27,2021-11-23,기능,화면,안켜짐,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
SL24833,2021-06-16,2020-12-11,기능,화면,안켜짐,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
SL24834,2022-12-14,2022-03-21,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구
SL24835,2022-06-13,2021-09-05,기능,전원,켜지지 않음,배터리 방전,무상,부품교체,Battery,30000,미청구
SL24836,2022-05-26,2021-09-12,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구
SL24837,2022-03-13,2022-02-15,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24838,2021-07-13,2021-06-22,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24839,2022-08-15,2022-03-10,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24840,2022-03-21,2021-02-16,기능,버튼,두번 터치됨,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000
SL24841,2022-09-07,2022-04-30,기능,전원,켜지지 않음,배터리 방전,무상,제품교환,Battery,30000,미청구
SL24842,2023-04-10,2022-04-06,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24843,2022-11-06,2022-10-18,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24844,2022-05-03,2021-03-02,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24845,2023-01-22,2023-01-05,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24846,2021-11-08,2021-10-23,기능,전원,켜지지 않음,배터리 방전,무상,부품교체,Battery,30000,미청구
SL24847,2021-08-04,2021-06-29,기능,화면,백화현상,액정 고장,무상,제품교환,액정 Ass'y,80000,미청구
SL24848,2021-11-28,2020-08-14,기능,화면,안켜짐,컨넥터 이탈,유상,부품교체,컨넥터 Ass'y,18000,18000
SL24849,2022-12-13,2022-12-04,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24850,2022-11-28,2022-11-19,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24851,2022-12-18,2022-06-02,기능,버튼,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
SL24852,2022-05-07,2021-08-09,기능,전원,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
SL24853,2021-09-15,2020-09-21,기능,화면,백화현상,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구
SL24854,2022-05-07,2021-12-02,기능,전원,켜지지 않음,휴즈 끊어짐,무상,부품교체,Fuse,3000,미청구
SL24855,2021-08-19,2021-07-26,기능,화면,안켜짐,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
SL24856,2022-03-22,2021-02-15,기능,화면,안켜짐,액정 고장,유상,부품교체,액정 Ass'y,80000,80000
SL24857,2021-11-09,2021-04-22,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24858,2023-03-21,2022-12-22,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24859,2022-04-28,2022-04-21,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24860,2022-05-20,2022-03-29,기능,버튼,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구
SL24861,2023-01-08,2022-07-12,기능,전원,켜지지 않음,휴즈 끊어짐,무상,제품교환,Fuse,3000,미청구
SL24862,2022-10-28,2022-05-04,기능,화면,안켜짐,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
SL24863,2022-10-08,2022-08-19,기능,화면,백화현상,컨넥터 접촉불량,무상,제품교환,컨넥터 Ass'y,18000,미청구
SL24864,2021-12-31,2021-01-27,기능,버튼,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
SL24865,2021-06-28,2021-06-23,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24866,2021-07-27,2020-05-10,기능,버튼,동작안함,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
SL24867,2021-08-26,2020-06-21,기능,버튼,두번 터치됨,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
SL24868,2022-06-17,2021-10-11,기능,화면,백화현상,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
SL24869,2023-03-25,2022-03-13,기능,화면,안켜짐,액정 고장,유상,부품교체,액정 Ass'y,80000,80000
SL24870,2022-07-19,2021-07-24,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24871,2021-08-24,2021-08-01,기능,버튼,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
SL24872,2021-09-11,2020-07-15,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24873,2022-02-11,2021-02-19,기능,전원,켜지지 않음,전원스위치 고장,무상,제품교환,SMPS Pcb Board,45000,미청구
SL24874,2021-07-21,2021-04-26,기능,화면,백화현상,액정 고장,무상,제품교환,액정 Ass'y,80000,미청구
SL24875,2021-10-16,2021-08-20,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24876,2022-08-13,2021-09-21,기능,화면,안켜짐,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
SL24877,2021-07-05,2021-06-30,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24878,2022-02-14,2020-11-16,기능,버튼,두번 터치됨,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
SL24879,2021-07-18,2020-07-27,기능,전원,켜지지 않음,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
SL24880,2021-07-05,2021-01-01,기능,전원,켜지지 않음,배터리 방전,무상,부품교체,Battery,30000,미청구
SL24881,2022-06-15,2021-10-10,기능,전원,켜지지 않음,전원스위치 고장,무상,제품교환,SMPS Pcb Board,45000,미청구
SL24882,2022-12-11,2022-11-19,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24883,2021-10-30,2021-09-30,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24884,2021-10-18,2020-08-13,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24885,2022-11-27,2021-09-11,기능,전원,켜지지 않음,전원스위치 고장,유상,부품교체,SMPS Pcb Board,45000,45000
SL24886,2022-07-03,2021-12-12,기능,화면,백화현상,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구
SL24887,2021-05-16,2021-03-23,기능,전원,켜지지 않음,휴즈 끊어짐,무상,부품교체,Fuse,3000,미청구
SL24888,2023-04-16,2022-12-11,기능,버튼,두번 터치됨,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
SL24889,2022-01-08,2021-07-15,기능,화면,안켜짐,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
SL24890,2021-08-02,2020-08-27,기능,화면,백화현상,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구
SL24891,2022-03-20,2021-07-03,기능,전원,켜지지 않음,전원스위치 고장,무상,제품교환,SMPS Pcb Board,45000,미청구
SL24892,2021-11-14,2020-09-05,기능,화면,백화현상,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
SL24893,2023-04-09,2022-05-07,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24894,2022-08-04,2022-06-05,기능,버튼,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
SL24895,2023-05-12,2022-05-04,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24896,2022-10-28,2021-07-20,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24897,2022-11-07,2022-11-05,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24898,2022-01-24,2022-01-19,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24899,2023-05-06,2022-06-14,기능,버튼,동작안함,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
SL24900,2021-07-21,2020-11-17,기능,전원,켜지지 않음,휴즈 끊어짐,무상,제품교환,Fuse,3000,미청구
SL24901,2021-08-25,2021-08-11,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24902,2022-05-12,2022-05-02,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24903,2021-07-19,2021-06-27,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24904,2021-12-17,2021-06-17,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24905,2022-04-23,2021-08-16,기능,화면,백화현상,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
SL24906,2022-04-19,2022-03-24,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24907,2022-04-10,2021-09-04,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24908,2021-06-22,2021-06-06,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24909,2021-08-07,2021-01-26,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24910,2021-06-01,2021-05-17,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24911,2023-05-08,2022-02-07,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24912,2023-04-22,2023-03-31,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24913,2021-12-29,2021-11-28,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24914,2022-03-05,2020-12-06,기능,버튼,동작안함,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
SL24915,2023-05-29,2023-04-08,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구
SL24916,2022-05-03,2021-09-21,기능,전원,켜지지 않음,휴즈 끊어짐,무상,부품교체,Fuse,3000,미청구
SL24917,2022-03-11,2021-12-12,기능,버튼,동작안함,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
SL24918,2022-03-05,2021-08-13,기능,버튼,두번 터치됨,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구
SL24919,2021-05-08,2020-12-03,기능,전원,켜지지 않음,배터리 방전,무상,제품교환,Battery,30000,미청구
SL24920,2023-02-06,2022-01-23,기능,전원,켜지지 않음,배터리 방전,유상,부품교체,Battery,30000,30000
SL24921,2022-12-12,2022-01-23,기능,전원,켜지지 않음,휴즈 끊어짐,무상,제품교환,Fuse,3000,미청구
SL24922,2021-05-20,2021-04-25,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24923,2022-01-04,2021-12-05,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24924,2023-05-16,2023-04-07,기능,버튼,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
SL24925,2023-04-15,2022-07-08,기능,전원,켜지지 않음,전원스위치 고장,무상,제품교환,SMPS Pcb Board,45000,미청구
SL24926,2021-08-07,2021-06-02,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24927,2022-09-30,2022-07-16,기능,화면,백화현상,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
SL24928,2021-05-17,2020-02-08,기능,전원,켜지지 않음,전원스위치 고장,유상,부품교체,SMPS Pcb Board,45000,45000
SL24929,2022-04-13,2021-02-17,기능,화면,안켜짐,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
SL24930,2022-04-10,2021-09-22,기능,버튼,두번 터치됨,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구
SL24931,2022-06-21,2021-03-05,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24932,2021-05-11,2021-04-15,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24933,2022-11-18,2022-07-05,기능,전원,켜지지 않음,휴즈 끊어짐,무상,제품교환,Fuse,3000,미청구
SL24934,2022-09-10,2022-08-14,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24935,2023-01-02,2022-02-05,기능,화면,안켜짐,컨넥터 이탈,무상,부품교체,컨넥터 Ass'y,18000,미청구
SL24936,2023-04-14,2022-01-18,기능,화면,안켜짐,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
SL24937,2022-11-15,2022-11-05,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24938,2021-12-12,2021-08-03,기능,전원,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
SL24939,2023-03-20,2022-08-19,기능,전원,켜지지 않음,배터리 방전,무상,부품교체,Battery,30000,미청구
SL24940,2021-06-20,2021-05-28,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24941,2021-08-02,2020-11-14,기능,화면,안켜짐,컨넥터 이탈,무상,제품교환,컨넥터 Ass'y,18000,미청구
SL24942,2022-12-14,2022-10-12,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24943,2023-04-08,2023-03-17,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24944,2022-07-24,2022-05-28,기능,전원,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
SL24945,2021-08-06,2021-07-23,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24946,2022-10-31,2022-03-17,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24947,2022-02-24,2022-01-17,기능,화면,백화현상,컨넥터 접촉불량,무상,제품교환,컨넥터 Ass'y,18000,미청구
SL24948,2023-02-11,2022-04-07,기능,전원,켜지지 않음,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
SL24949,2023-01-02,2022-12-17,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24950,2023-04-11,2022-09-01,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24951,2021-08-17,2021-08-03,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24952,2023-03-06,2023-03-04,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구
SL24953,2022-09-24,2022-03-11,기능,전원,켜지지 않음,배터리 방전,무상,부품교체,Battery,30000,미청구
SL24954,2023-05-03,2023-04-19,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
SL24955,2022-02-08,2021-01-12,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24956,2021-08-05,2021-06-19,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24957,2021-09-05,2021-03-21,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
SL24958,2022-10-03,2021-06-29,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
SL24959,2022-05-20,2022-03-11,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구
SL24960,2023-01-27,2022-12-23,기능,버튼,두번 터치됨,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
SL24961,2022-03-08,2022-03-01,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
