,접수번호,접수날짜,제조일자,불량유형_대,불량유형_중,불량유형_소,원인,유상/무상,처리내역,수리부품,수리비용,수리비용청구여부,제조년,접수년
567,SL22127,2022-04-12,2022-03-14,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2022
568,SL22128,2023-01-19,2022-05-24,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2023
569,SL22129,2022-05-15,2021-07-02,기능,화면,안켜짐,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2022
570,SL22130,2022-05-06,2021-10-06,기능,전원,켜지지 않음,휴즈 끊어짐,무상,제품교환,Fuse,3000,미청구,2021,2022
571,SL22131,2022-03-30,2022-03-09,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
572,SL22132,2023-05-27,2022-03-27,기능,전원,켜지지 않음,전원스위치 고장,유상,부품교체,SMPS Pcb Board,45000,45000,2022,2023
573,SL22133,2022-05-22,2022-05-03,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
574,SL22134,2022-02-11,2021-05-01,기능,화면,안켜짐,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구,2021,2022
575,SL22135,2021-08-07,2020-11-01,기능,전원,켜지지 않음,휴즈 끊어짐,무상,부품교체,Fuse,3000,미청구,2020,2021
576,SL22136,2021-11-09,2021-07-01,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2021
577,SL22137,2021-11-30,2021-11-23,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021
578,SL22138,2022-05-22,2022-05-01,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
579,SL22139,2023-03-04,2022-12-27,기능,화면,안켜짐,컨넥터 이탈,무상,부품교체,컨넥터 Ass'y,18000,미청구,2022,2023
580,SL22140,2023-02-13,2022-05-27,기능,전원,켜지지 않음,배터리 방전,무상,제품교환,Battery,30000,미청구,2022,2023
581,SL22141,2023-03-13,2023-02-28,기능,화면,백화현상,컨넥터 접촉불량,무상,제품교환,컨넥터 Ass'y,18000,미청구,2023,2023
582,SL22142,2022-12-22,2022-12-15,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
583,SL22143,2022-07-23,2022-01-01,기능,화면,백화현상,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2022,2022
584,SL22144,2021-06-01,2020-04-02,기능,전원,켜지지 않음,휴즈 끊어짐,유상,부품교체,Fuse,3000,3000,2020,2021
585,SL22145,2023-04-19,2022-01-11,기능,전원,켜지지 않음,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2022,2023
586,SL22146,2021-08-02,2021-07-05,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021
587,SL22147,2022-03-20,2021-01-26,기능,버튼,두번 터치됨,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000,2021,2022
588,SL22148,2021-12-08,2021-11-13,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021
589,SL22149,2022-10-09,2022-09-21,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
590,SL22150,2021-05-02,2021-04-04,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021
591,SL22151,2021-08-29,2021-02-02,기능,전원,켜지지 않음,휴즈 끊어짐,무상,부품교체,Fuse,3000,미청구,2021,2021
592,SL22152,2022-07-13,2022-06-28,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
593,SL22153,2021-08-06,2020-10-10,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2020,2021
594,SL22154,2021-11-09,2020-08-07,기능,버튼,동작안함,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000,2020,2021
595,SL22155,2023-04-08,2023-01-23,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2023,2023
596,SL22156,2021-11-05,2021-10-19,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021
597,SL22157,2022-11-26,2022-11-08,기능,버튼,두번 터치됨,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2022,2022
598,SL22158,2022-10-05,2022-09-18,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
599,SL22159,2021-10-21,2020-07-31,기능,화면,안켜짐,액정 고장,유상,부품교체,액정 Ass'y,80000,80000,2020,2021
600,SL22160,2021-08-10,2021-07-10,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2021
601,SL22161,2021-08-07,2021-03-18,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2021
602,SL22162,2023-03-05,2022-07-06,기능,화면,안켜짐,액정 고장,무상,제품교환,액정 Ass'y,80000,미청구,2022,2023
603,SL22163,2021-07-04,2021-05-30,기능,전원,켜지지 않음,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2021
604,SL22164,2022-08-15,2022-01-31,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2022
605,SL22165,2023-03-12,2022-05-29,기능,버튼,동작안함,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2022,2023
606,SL22166,2022-07-14,2021-09-16,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2022
607,SL22167,2021-11-26,2021-05-13,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2021
608,SL22168,2022-01-12,2021-06-04,기능,전원,켜지지 않음,전원스위치 고장,무상,제품교환,SMPS Pcb Board,45000,미청구,2021,2022
609,SL22169,2023-05-05,2022-09-20,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2023
610,SL22170,2022-07-11,2022-05-24,기능,전원,켜지지 않음,배터리 방전,무상,제품교환,Battery,30000,미청구,2022,2022
611,SL22171,2021-10-25,2021-05-22,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2021
612,SL22172,2022-08-16,2022-08-12,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
613,SL22173,2023-05-15,2022-05-29,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2023
614,SL22174,2022-03-16,2021-07-23,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구,2021,2022
615,SL22175,2023-01-24,2023-01-11,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2023,2023
616,SL22176,2022-04-22,2021-12-05,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2022
617,SL22177,2022-02-13,2022-01-16,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
618,SL22178,2022-11-25,2022-11-03,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
619,SL22179,2022-05-28,2021-11-09,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2022
620,SL22180,2022-10-10,2022-09-26,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
621,SL22181,2022-02-13,2021-12-06,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2022
622,SL22182,2022-11-18,2022-08-29,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2022
623,SL22183,2022-03-27,2022-02-19,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2022
624,SL22184,2022-06-12,2022-05-29,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
625,SL22185,2021-09-29,2020-06-23,기능,화면,안켜짐,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2020,2021
626,SL22186,2021-05-14,2020-10-03,기능,버튼,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구,2020,2021
627,SL22187,2022-03-28,2021-09-20,기능,버튼,두번 터치됨,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2022
628,SL22188,2022-05-07,2021-11-04,기능,버튼,두번 터치됨,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2022
629,SL22189,2023-04-23,2023-04-18,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2023,2023
630,SL22190,2023-03-04,2023-02-24,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2023,2023
631,SL22191,2022-05-20,2021-10-10,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2022
632,SL22192,2022-01-04,2021-12-22,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2022
633,SL22193,2021-07-09,2021-02-18,기능,전원,켜지지 않음,휴즈 끊어짐,무상,부품교체,Fuse,3000,미청구,2021,2021
634,SL22194,2022-12-04,2021-11-05,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2022
635,SL22195,2022-07-03,2021-07-12,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2022
636,SL22196,2021-10-14,2021-09-15,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021
637,SL22197,2022-09-28,2022-09-01,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
638,SL22198,2023-03-26,2023-03-22,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2023,2023
639,SL22199,2022-08-11,2022-05-09,기능,화면,백화현상,컨넥터 접촉불량,무상,제품교환,컨넥터 Ass'y,18000,미청구,2022,2022
640,SL22200,2023-03-25,2022-01-23,기능,화면,백화현상,액정 고장,유상,부품교체,액정 Ass'y,80000,80000,2022,2023
641,SL22201,2022-09-21,2021-10-13,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구,2021,2022
642,SL22202,2023-01-08,2021-11-28,기능,버튼,동작안함,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2021,2023
643,SL22203,2022-10-25,2022-10-05,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2022
644,SL22204,2022-04-17,2021-12-25,기능,버튼,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구,2021,2022
645,SL22205,2021-10-26,2021-10-04,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021
646,SL22206,2021-07-20,2021-06-30,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021
647,SL22207,2021-11-14,2020-10-13,기능,화면,안켜짐,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2020,2021
648,SL22208,2022-01-07,2021-07-16,기능,버튼,동작안함,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2022
649,SL22209,2021-09-19,2020-06-30,기능,화면,백화현상,컨넥터 접촉불량,유상,부품교체,컨넥터 Ass'y,18000,18000,2020,2021
650,SL22210,2021-10-17,2021-09-18,기능,화면,안켜짐,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구,2021,2021
651,SL22211,2022-10-16,2022-04-02,기능,화면,안켜짐,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2022,2022
652,SL22212,2022-05-06,2022-04-14,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2022
653,SL22213,2021-10-06,2021-05-20,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2021
654,SL22214,2021-12-08,2021-11-30,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021
655,SL22215,2021-08-10,2020-06-03,기능,전원,켜지지 않음,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2020,2021
656,SL22216,2023-03-26,2022-08-29,기능,버튼,두번 터치됨,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2022,2023
657,SL22217,2021-08-03,2020-09-24,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2020,2021
658,SL22218,2022-12-02,2022-11-22,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
659,SL22219,2022-03-12,2021-04-30,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2022
660,SL22220,2022-07-23,2022-03-12,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2022,2022
661,SL22221,2023-05-27,2022-11-27,기능,화면,안켜짐,컨넥터 이탈,무상,제품교환,컨넥터 Ass'y,18000,미청구,2022,2023
662,SL22222,2022-07-11,2022-02-02,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2022
663,SL22223,2021-08-18,2020-06-06,기능,전원,켜지지 않음,배터리 방전,유상,부품교체,Battery,30000,30000,2020,2021
664,SL22224,2023-02-07,2022-01-06,기능,화면,안켜짐,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2022,2023
665,SL22225,2022-02-08,2022-01-25,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
666,SL22226,2021-07-10,2021-06-20,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021
667,SL22227,2022-10-19,2022-10-09,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
668,SL22228,2021-09-17,2021-05-10,기능,버튼,두번 터치됨,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2021
669,SL22229,2022-07-06,2022-04-10,기능,화면,안켜짐,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2022,2022
670,SL22230,2021-07-13,2021-01-11,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2021
671,SL22231,2022-01-11,2022-01-04,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
672,SL22232,2022-07-02,2022-06-10,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
673,SL22233,2022-10-11,2022-02-28,기능,버튼,두번 터치됨,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구,2022,2022
674,SL22234,2023-05-08,2022-04-25,기능,버튼,동작안함,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000,2022,2023
675,SL22235,2023-05-22,2023-05-18,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2023,2023
676,SL22236,2021-05-20,2020-06-07,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2020,2021
677,SL22237,2021-08-02,2021-01-02,기능,화면,백화현상,컨넥터 접촉불량,무상,제품교환,컨넥터 Ass'y,18000,미청구,2021,2021
678,SL22238,2022-12-23,2022-04-19,기능,화면,백화현상,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구,2022,2022
679,SL22239,2022-07-02,2022-06-24,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
680,SL22240,2021-07-25,2020-04-05,기능,화면,백화현상,컨넥터 접촉불량,유상,부품교체,컨넥터 Ass'y,18000,18000,2020,2021
681,SL22241,2023-03-12,2022-09-06,기능,버튼,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2022,2023
682,SL22242,2023-05-20,2023-03-26,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2023,2023
683,SL22243,2022-06-02,2021-10-28,기능,화면,백화현상,컨넥터 접촉불량,무상,제품교환,컨넥터 Ass'y,18000,미청구,2021,2022
684,SL22244,2021-11-09,2021-10-20,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021
685,SL22245,2022-04-27,2021-02-12,기능,전원,켜지지 않음,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2021,2022
686,SL22246,2022-06-18,2021-09-26,기능,전원,켜지지 않음,휴즈 끊어짐,무상,제품교환,Fuse,3000,미청구,2021,2022
687,SL22247,2021-11-23,2021-02-24,기능,버튼,두번 터치됨,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2021
688,SL22248,2023-01-06,2022-12-05,기능,버튼,동작안함,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구,2022,2023
689,SL22249,2022-12-17,2022-12-13,외관,파손,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
690,SL22250,2021-11-24,2020-11-25,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구,2020,2021
691,SL22251,2021-08-23,2021-05-05,기능,버튼,동작안함,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2021
692,SL22252,2021-08-17,2021-08-01,외관,오염,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021
693,SL22253,2023-01-14,2021-12-18,기능,화면,안켜짐,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2021,2023
694,SL22254,2021-07-09,2021-06-29,기능,버튼,동작안함,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구,2021,2021
695,SL22255,2022-06-03,2022-05-22,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
696,SL22256,2021-05-22,2021-04-28,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021
697,SL22257,2021-06-09,2020-09-27,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2020,2021
698,SL22258,2022-08-02,2022-03-03,기능,화면,백화현상,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구,2022,2022
699,SL22259,2023-02-06,2023-01-14,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2023,2023
700,SL22260,2022-01-16,2020-11-19,기능,버튼,동작안함,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2020,2022
701,SL22261,2022-04-14,2021-12-11,기능,화면,백화현상,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2022
702,SL22262,2021-07-31,2020-04-14,기능,버튼,동작안함,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2020,2021
703,SL22263,2022-09-25,2022-07-08,기능,버튼,동작안함,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구,2022,2022
704,SL22264,2023-05-24,2022-08-12,기능,화면,안켜짐,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구,2022,2023
705,SL22265,2021-08-20,2020-08-16,기능,전원,켜지지 않음,배터리 방전,유상,부품교체,Battery,30000,30000,2020,2021
706,SL22266,2021-12-06,2021-07-31,기능,전원,켜지지 않음,휴즈 끊어짐,무상,부품교체,Fuse,3000,미청구,2021,2021
707,SL22267,2023-01-30,2022-01-21,기능,버튼,두번 터치됨,스위치고장,유상,부품교체,스위치 PCB Board Ass'y,25000,25000,2022,2023
708,SL22268,2022-08-09,2021-10-10,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구,2021,2022
709,SL22269,2022-06-13,2022-01-10,기능,버튼,동작안함,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구,2022,2022
710,SL22270,2022-03-26,2021-12-09,기능,화면,백화현상,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2022
711,SL22271,2021-08-15,2021-04-25,기능,화면,안켜짐,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2021
712,SL22272,2022-06-18,2022-04-01,기능,화면,백화현상,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2022,2022
713,SL22273,2022-05-07,2021-08-01,기능,버튼,동작안함,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구,2021,2022
714,SL22274,2022-06-09,2021-07-07,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2022
715,SL22275,2021-05-06,2020-06-04,기능,화면,백화현상,액정 고장,무상,부품교체,액정 Ass'y,80000,미청구,2020,2021
716,SL22276,2021-11-20,2020-12-28,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2020,2021
717,SL22277,2022-02-01,2022-01-26,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
718,SL22278,2022-10-08,2021-10-04,기능,전원,켜지지 않음,휴즈 끊어짐,유상,부품교체,Fuse,3000,3000,2021,2022
719,SL22279,2022-07-07,2021-08-23,기능,전원,켜지지 않음,전원스위치 고장,무상,제품교환,SMPS Pcb Board,45000,미청구,2021,2022
720,SL22280,2021-09-09,2021-08-03,기능,버튼,두번 터치됨,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2021
721,SL22281,2022-11-28,2022-11-19,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
722,SL22282,2022-07-17,2021-03-27,기능,화면,안켜짐,컨넥터 이탈,유상,부품교체,컨넥터 Ass'y,18000,18000,2021,2022
723,SL22283,2022-02-18,2022-02-15,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
724,SL22284,2022-02-06,2022-02-04,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
725,SL22285,2022-04-19,2021-06-20,기능,화면,안켜짐,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2022
726,SL22286,2021-11-17,2020-10-15,기능,전원,켜지지 않음,배터리 방전,유상,부품교체,Battery,30000,30000,2020,2021
727,SL22287,2021-11-07,2021-10-28,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2021,2021
728,SL22288,2022-10-19,2021-08-01,기능,화면,백화현상,컨넥터 접촉불량,유상,부품교체,컨넥터 Ass'y,18000,18000,2021,2022
729,SL22289,2022-09-25,2021-12-13,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2022
730,SL22290,2023-01-19,2022-12-28,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2023
731,SL22291,2021-08-05,2020-10-06,기능,버튼,두번 터치됨,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2020,2021
732,SL22292,2022-12-26,2022-04-10,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2022
733,SL22293,2022-12-24,2022-12-20,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
734,SL22294,2022-10-22,2022-02-27,기능,버튼,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2022,2022
735,SL22295,2022-03-19,2021-10-08,기능,버튼,두번 터치됨,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2022
736,SL22296,2021-07-05,2020-07-06,기능,전원,켜지지 않음,배터리 방전,무상,부품교체,Battery,30000,미청구,2020,2021
737,SL22297,2021-05-01,2020-11-10,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2020,2021
738,SL22298,2022-02-20,2021-09-27,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2022
739,SL22299,2022-08-07,2022-01-04,기능,버튼,동작안함,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2022,2022
740,SL22300,2021-06-08,2020-02-15,기능,버튼,동작안함,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2020,2021
741,SL22301,2022-05-02,2021-12-12,외관,오염,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2022
742,SL22302,2022-12-01,2022-11-13,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
743,SL22303,2022-12-26,2022-05-29,기능,버튼,두번 터치됨,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구,2022,2022
744,SL22304,2022-08-20,2021-08-10,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2022
745,SL22305,2021-05-20,2020-12-17,기능,버튼,동작안함,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2020,2021
746,SL22306,2021-06-27,2021-06-09,기능,전원,켜지지 않음,휴즈 끊어짐,무상,제품교환,Fuse,3000,미청구,2021,2021
747,SL22307,2021-08-01,2020-05-08,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2020,2021
748,SL22308,2022-09-29,2021-08-02,기능,화면,백화현상,컨넥터 접촉불량,유상,부품교체,컨넥터 Ass'y,18000,18000,2021,2022
749,SL22309,2022-10-14,2021-08-16,기능,전원,켜지지 않음,휴즈 끊어짐,유상,부품교체,Fuse,3000,3000,2021,2022
750,SL22310,2022-03-21,2021-12-13,기능,버튼,동작안함,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구,2021,2022
751,SL22311,2022-12-10,2022-11-09,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2022
752,SL22312,2021-07-05,2021-06-13,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2021,2021
753,SL22313,2022-08-17,2022-08-05,외관,흠집,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
754,SL22314,2022-02-03,2022-02-01,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
755,SL22315,2021-06-16,2020-10-18,기능,전원,켜지지 않음,전원스위치 고장,무상,부품교체,SMPS Pcb Board,45000,미청구,2020,2021
756,SL22316,2022-03-02,2021-03-09,기능,전원,켜지지 않음,휴즈 끊어짐,무상,제품교환,Fuse,3000,미청구,2021,2022
757,SL22317,2022-11-03,2022-10-04,외관,파손,케이스,검수미비,무상,제품교환,케이스,20000,미청구,2022,2022
758,SL22318,2022-07-16,2021-10-28,기능,전원,켜지지 않음,휴즈 끊어짐,무상,제품교환,Fuse,3000,미청구,2021,2022
759,SL22319,2022-09-10,2022-08-15,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구,2022,2022
760,SL22320,2023-04-27,2022-01-23,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2022,2023
761,SL22321,2021-05-12,2020-05-02,기능,전원,켜지지 않음,배터리 방전,유상,부품교체,Battery,30000,30000,2020,2021
762,SL22322,2021-10-11,2020-08-09,기능,화면,안켜짐,액정 고장,유상,부품교체,액정 Ass'y,80000,80000,2020,2021
763,SL22323,2022-04-10,2021-09-09,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000,2021,2022
764,SL22324,2021-10-07,2021-09-16,기능,화면,백화현상,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2021
765,SL22325,2021-09-23,2021-04-29,기능,전원,켜지지 않음,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구,2021,2021
766,SL22326,2022-06-18,2021-04-18,기능,전원,켜지지 않음,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000,2021,2022
767,SL22327,2021-12-07,2021-06-25,외관,파손,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000,2021,2021
